date,status,stage,home_team,away_team,home_score,away_score
2026-06-11T19:00:00Z,FINISHED,GROUP_STAGE,Mexico,South Africa,2.0,0.0
2026-06-12T02:00:00Z,FINISHED,GROUP_STAGE,South Korea,Czechia,2.0,1.0
2026-06-12T19:00:00Z,TIMED,GROUP_STAGE,Canada,Bosnia-Herzegovina,,
2026-06-13T01:00:00Z,TIMED,GROUP_STAGE,United States,Paraguay,,
2026-06-13T19:00:00Z,TIMED,GROUP_STAGE,Qatar,Switzerland,,
2026-06-13T22:00:00Z,TIMED,GROUP_STAGE,Brazil,Morocco,,
2026-06-14T01:00:00Z,TIMED,GROUP_STAGE,Haiti,Scotland,,
2026-06-14T04:00:00Z,TIMED,GROUP_STAGE,Australia,Turkey,,
2026-06-14T17:00:00Z,TIMED,GROUP_STAGE,Germany,Curaçao,,
2026-06-14T20:00:00Z,TIMED,GROUP_STAGE,Netherlands,Japan,,
2026-06-14T23:00:00Z,TIMED,GROUP_STAGE,Ivory Coast,Ecuador,,
2026-06-15T02:00:00Z,TIMED,GROUP_STAGE,Sweden,Tunisia,,
2026-06-15T16:00:00Z,TIMED,GROUP_STAGE,Spain,Cape Verde Islands,,
2026-06-15T19:00:00Z,TIMED,GROUP_STAGE,Belgium,Egypt,,
2026-06-15T22:00:00Z,TIMED,GROUP_STAGE,Saudi Arabia,Uruguay,,
2026-06-16T01:00:00Z,TIMED,GROUP_STAGE,Iran,New Zealand,,
2026-06-16T19:00:00Z,TIMED,GROUP_STAGE,France,Senegal,,
2026-06-16T22:00:00Z,TIMED,GROUP_STAGE,Iraq,Norway,,
2026-06-17T01:00:00Z,TIMED,GROUP_STAGE,Argentina,Algeria,,
2026-06-17T04:00:00Z,TIMED,GROUP_STAGE,Austria,Jordan,,
2026-06-17T17:00:00Z,TIMED,GROUP_STAGE,Portugal,Congo DR,,
2026-06-17T20:00:00Z,TIMED,GROUP_STAGE,England,Croatia,,
2026-06-17T23:00:00Z,TIMED,GROUP_STAGE,Ghana,Panama,,
2026-06-18T02:00:00Z,TIMED,GROUP_STAGE,Uzbekistan,Colombia,,
2026-06-18T16:00:00Z,TIMED,GROUP_STAGE,Czechia,South Africa,,
2026-06-18T19:00:00Z,TIMED,GROUP_STAGE,Switzerland,Bosnia-Herzegovina,,
2026-06-18T22:00:00Z,TIMED,GROUP_STAGE,Canada,Qatar,,
2026-06-19T01:00:00Z,TIMED,GROUP_STAGE,Mexico,South Korea,,
2026-06-19T19:00:00Z,TIMED,GROUP_STAGE,United States,Australia,,
2026-06-19T22:00:00Z,TIMED,GROUP_STAGE,Scotland,Morocco,,
2026-06-20T00:30:00Z,TIMED,GROUP_STAGE,Brazil,Haiti,,
2026-06-20T03:00:00Z,TIMED,GROUP_STAGE,Turkey,Paraguay,,
2026-06-20T17:00:00Z,TIMED,GROUP_STAGE,Netherlands,Sweden,,
2026-06-20T20:00:00Z,TIMED,GROUP_STAGE,Germany,Ivory Coast,,
2026-06-21T00:00:00Z,TIMED,GROUP_STAGE,Ecuador,Curaçao,,
2026-06-21T04:00:00Z,TIMED,GROUP_STAGE,Tunisia,Japan,,
2026-06-21T16:00:00Z,TIMED,GROUP_STAGE,Spain,Saudi Arabia,,
2026-06-21T19:00:00Z,TIMED,GROUP_STAGE,Belgium,Iran,,
2026-06-21T22:00:00Z,TIMED,GROUP_STAGE,Uruguay,Cape Verde Islands,,
2026-06-22T01:00:00Z,TIMED,GROUP_STAGE,New Zealand,Egypt,,
2026-06-22T17:00:00Z,TIMED,GROUP_STAGE,Argentina,Austria,,
2026-06-22T21:00:00Z,TIMED,GROUP_STAGE,France,Iraq,,
2026-06-23T00:00:00Z,TIMED,GROUP_STAGE,Norway,Senegal,,
2026-06-23T03:00:00Z,TIMED,GROUP_STAGE,Jordan,Algeria,,
2026-06-23T17:00:00Z,TIMED,GROUP_STAGE,Portugal,Uzbekistan,,
2026-06-23T20:00:00Z,TIMED,GROUP_STAGE,England,Ghana,,
2026-06-23T23:00:00Z,TIMED,GROUP_STAGE,Panama,Croatia,,
2026-06-24T02:00:00Z,TIMED,GROUP_STAGE,Colombia,Congo DR,,
2026-06-24T19:00:00Z,TIMED,GROUP_STAGE,Switzerland,Canada,,
2026-06-24T19:00:00Z,TIMED,GROUP_STAGE,Bosnia-Herzegovina,Qatar,,
2026-06-24T22:00:00Z,TIMED,GROUP_STAGE,Morocco,Haiti,,
2026-06-24T22:00:00Z,TIMED,GROUP_STAGE,Scotland,Brazil,,
2026-06-25T01:00:00Z,TIMED,GROUP_STAGE,Czechia,Mexico,,
2026-06-25T01:00:00Z,TIMED,GROUP_STAGE,South Africa,South Korea,,
2026-06-25T20:00:00Z,TIMED,GROUP_STAGE,Ecuador,Germany,,
2026-06-25T20:00:00Z,TIMED,GROUP_STAGE,Curaçao,Ivory Coast,,
2026-06-25T23:00:00Z,TIMED,GROUP_STAGE,Tunisia,Netherlands,,
2026-06-25T23:00:00Z,TIMED,GROUP_STAGE,Japan,Sweden,,
2026-06-26T02:00:00Z,TIMED,GROUP_STAGE,Turkey,United States,,
2026-06-26T02:00:00Z,TIMED,GROUP_STAGE,Paraguay,Australia,,
2026-06-26T19:00:00Z,TIMED,GROUP_STAGE,Norway,France,,
2026-06-26T19:00:00Z,TIMED,GROUP_STAGE,Senegal,Iraq,,
2026-06-27T00:00:00Z,TIMED,GROUP_STAGE,Uruguay,Spain,,
2026-06-27T00:00:00Z,TIMED,GROUP_STAGE,Cape Verde Islands,Saudi Arabia,,
2026-06-27T03:00:00Z,TIMED,GROUP_STAGE,New Zealand,Belgium,,
2026-06-27T03:00:00Z,TIMED,GROUP_STAGE,Egypt,Iran,,
2026-06-27T21:00:00Z,TIMED,GROUP_STAGE,Panama,England,,
2026-06-27T21:00:00Z,TIMED,GROUP_STAGE,Croatia,Ghana,,
2026-06-27T23:30:00Z,TIMED,GROUP_STAGE,Colombia,Portugal,,
2026-06-27T23:30:00Z,TIMED,GROUP_STAGE,Congo DR,Uzbekistan,,
2026-06-28T02:00:00Z,TIMED,GROUP_STAGE,Jordan,Argentina,,
2026-06-28T02:00:00Z,TIMED,GROUP_STAGE,Algeria,Austria,,
2026-06-28T19:00:00Z,TIMED,LAST_32,,,,
2026-06-29T17:00:00Z,TIMED,LAST_32,,,,
2026-06-29T20:30:00Z,TIMED,LAST_32,,,,
2026-06-30T01:00:00Z,TIMED,LAST_32,,,,
2026-06-30T17:00:00Z,TIMED,LAST_32,,,,
2026-06-30T21:00:00Z,TIMED,LAST_32,,,,
2026-07-01T01:00:00Z,TIMED,LAST_32,,,,
2026-07-01T16:00:00Z,TIMED,LAST_32,,,,
2026-07-01T20:00:00Z,TIMED,LAST_32,,,,
2026-07-02T00:00:00Z,TIMED,LAST_32,,,,
